request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,25256,affordable_now,full_payment,2024-03-03:25256,2024-03-03,none,Pay ZAR 25256 today. This leaves at least ZAR 18000 available over the next 90 days.
request_02,17884460.19,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,none,"Use 3 installments of IDR 15952906.67, starting 2025-08-08. This leaves at least IDR 29158400 available."
request_03,1075241.69,affordable_later,wait,2019-11-15:5491000,2019-11-15,none,Pay IDR 5491000 in full on 2019-11-15. Paying earlier would take the balance below the IDR 2668700 minimum.
request_04,10200454,affordable_later,wait,2024-06-15:12693000,2024-06-15,none,Pay IDR 12693000 in full on 2024-06-15. Paying earlier would take the balance below the IDR 30686600 minimum.
request_05,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-12. None of the available options keeps the ZAR 13100 minimum protected.
request_06,620.40,affordable_now,full_payment,2026-01-03:620.40,2026-01-03,none,Pay EUR 620.40 today. This leaves at least EUR 800 available over the next 90 days.
request_07,94960.66,affordable_with_plan,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-23,none,"Use 3 installments of INR 68432, starting 2024-09-12. This leaves at least INR 93000 available."
request_08,333.71,affordable_later,wait,2025-04-15:996.60,2025-04-15,none,Pay EUR 996.60 in full on 2025-04-15. Paying earlier would take the balance below the EUR 800 minimum.
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Pay EUR 166.61 today. This leaves at least EUR 600 available over the next 90 days.
request_10,266699.99,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-10. None of the available options keeps the INR 225400 minimum protected.
request_11,13110000,affordable_now,full_payment,2025-05-03:13110000,2025-05-03,none,Pay IDR 13110000 today. This leaves at least IDR 34140600 available over the next 90 days.
request_12,65163.99,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,"Use 3 installments of ZAR 22590.19, starting 2026-04-19. This leaves at least ZAR 43200 available."
request_13,823.68,affordable_later,wait,2024-05-15:941.60,2024-05-15,none,Pay EUR 941.60 in full on 2024-05-15. Paying earlier would take the balance below the EUR 1300 minimum.
request_14,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-04. None of the available options keeps the EUR 2200 minimum protected.
request_15,26.76,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-02-01. None of the available options keeps the EUR 1200 minimum protected.
request_16,122500,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,Pay INR 122500 today. This leaves at least INR 122400 available over the next 90 days.
request_17,237404.82,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-04-15,reduce_to:event_1542:2935,"reduce Family dinner to INR 2935, then use 3 installments of INR 95194.67, starting 2026-03-01. This leaves at least INR 166100 available."
request_18,632.12,affordable_later,wait,2026-08-15:3246.10,2026-08-15,none,Pay EUR 3246.10 in full on 2026-08-15. Paying earlier would take the balance below the EUR 1400 minimum.
request_19,25259.25,affordable_with_plan,partial_payment,2024-09-04:25259.25|2024-09-15:14400.75,2024-09-15,none,Pay INR 25259.25 today and the remaining INR 14400.75 on 2024-09-15. This completes the full request and keeps the INR 92800 minimum protected.
request_20,8162.57,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-02-22. None of the available options keeps the INR 64500 minimum protected.
request_21,1574.40,affordable_now,full_payment,2026-04-03:1574.40,2026-04-03,none,Pay USD 1574.40 today. This leaves at least USD 1800 available over the next 90 days.
request_22,481.19,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-01-15,none,"Use 3 installments of EUR 253.59, starting 2024-12-08. This leaves at least EUR 500 available."
request_23,8318.85,affordable_later,wait,2025-07-15:38016,2025-07-15,none,Pay ZAR 38016 in full on 2025-07-15. Paying earlier would take the balance below the ZAR 27000 minimum.
request_24,16553.41,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-02-08. None of the available options keeps the INR 51000 minimum protected.
request_25,1154361.46,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-04-17. None of the available options keeps the IDR 23379100 minimum protected.
